0x1165, NtGdiDdDDIDestroyContext
0x1166, NtGdiDdDDIDestroyDCFromMemory
0x1167, ZwGdiDdDDIDestroyDevice
0x1168, NtGdiDdDDIDestroyKeyedMutex
0x1169, ZwGdiDdDDIDestroyOverlay
0x116a, ZwGdiDdDDIDestroySynchronizationObject
0x116b, ZwGdiDdDDIEscape
0x116c, ZwGdiDdDDIFlipOverlay
0x116d, NtGdiDdDDIGetContextSchedulingPriority
0x116e, ZwGdiDdDDIGetDeviceState
0x116f, NtGdiDdDDIGetDisplayModeList
0x1170, NtGdiDdDDIGetMultisampleMethodList
0x1171, ZwGdiDdDDIGetOverlayState
0x1172, NtGdiDdDDIGetPresentHistory
0x1173, ZwGdiDdDDIGetPresentQueueEvent
0x1174, NtGdiDdDDIGetProcessSchedulingPriorityClass
0x1175, ZwGdiDdDDIGetRuntimeData
0x1176, ZwGdiDdDDIGetScanLine
0x1177, NtGdiDdDDIGetSharedPrimaryHandle
0x1178, NtGdiDdDDIInvalidateActiveVidPn
0x1179, ZwGdiDdDDILock
0x117a, ZwGdiDdDDIOpenAdapterFromDeviceName
0x117b, ZwGdiDdDDIOpenAdapterFromHdc
0x117c, NtGdiDdDDIOpenKeyedMutex
0x117d, NtGdiDdDDIOpenResource
0x117e, ZwGdiDdDDIOpenSynchronizationObject
0x117f, ZwGdiDdDDIPollDisplayChildren
0x1180, ZwGdiDdDDIPresent
0x1181, NtGdiDdDDIQueryAdapterInfo
0x1182, ZwGdiDdDDIQueryAllocationResidency
0x1183, NtGdiDdDDIQueryResourceInfo
0x1184, ZwGdiDdDDIQueryStatistics
0x1185, NtGdiDdDDIReleaseKeyedMutex
0x1186, NtGdiDdDDIReleaseProcessVidPnSourceOwners
0x1187, ZwGdiDdDDIRender
0x1188, ZwGdiDdDDISetAllocationPriority
0x1189, ZwGdiDdDDISetContextSchedulingPriority
0x118a, NtGdiDdDDISetDisplayMode
0x118b, NtGdiDdDDISetDisplayPrivateDriverFormat
0x118c, NtGdiDdDDISetGammaRamp
0x118d, ZwGdiDdDDISetProcessSchedulingPriorityClass
0x118e, ZwGdiDdDDISetQueuedLimit
0x118f, NtGdiDdDDISetVidPnSourceOwner
0x1190, ZwGdiDdDDISharedPrimaryLockNotification
0x1191, ZwGdiDdDDISharedPrimaryUnLockNotification
0x1192, ZwGdiDdDDISignalSynchronizationObject
0x1193, ZwGdiDdDDIUnlock
0x1194, ZwGdiDdDDIUpdateOverlay
0x1195, ZwGdiDdDDIWaitForIdle
0x1196, ZwGdiDdDDIWaitForSynchronizationObject
0x1197, ZwGdiDdDDIWaitForVerticalBlankEvent
0x1198, NtGdiDdDeleteDirectDrawObject
0x1199, NtGdiDdDestroyD3DBuffer
0x119a, NtGdiDdDestroyFullscreenSprite
0x119b, NtGdiDdDestroyMoComp
0x119c, NtGdiDdEndMoCompFrame
0x119d, NtGdiDdFlip
0x119e, ZwGdiDdFlipToGDISurface
0x119f, ZwGdiDdGetAvailDriverMemory
0x11a0, NtGdiDdGetBltStatus
0x11a1, ZwGdiDdGetDC
0x11a2, ZwGdiDdGetDriverInfo
0x11a3, ZwGdiDdGetDriverState
0x11a4, NtGdiDdGetDxHandle
0x11a5, ZwGdiDdGetFlipStatus
0x11a6, ZwGdiDdGetInternalMoCompInfo
0x11a7, ZwGdiDdGetMoCompBuffInfo
0x11a8, NtGdiDdGetMoCompFormats
0x11a9, NtGdiDdGetMoCompGuids
0x11aa, ZwGdiDdGetScanLine
0x11ab, NtGdiDdLock
0x11ac, NtGdiDdNotifyFullscreenSpriteUpdate
0x11ad, NtGdiDdQueryDirectDrawObject
0x11ae, ZwGdiDdQueryMoCompStatus
0x11af, NtGdiDdQueryVisRgnUniqueness
0x11b0, NtGdiDdReenableDirectDrawObject
0x11b1, ZwGdiDdReleaseDC
0x11b2, NtGdiDdRenderMoComp
0x11b3, NtGdiDdSetColorKey
0x11b4, ZwGdiDdSetExclusiveMode
0x11b5, ZwGdiDdSetGammaRamp
0x11b6, NtGdiDdSetOverlayPosition
0x11b7, ZwGdiDdUnattachSurface
0x11b8, NtGdiDdUnlock
0x11b9, ZwGdiDdUpdateOverlay
0x11ba, NtGdiDdWaitForVerticalBlank
0x11bb, ZwGdiDeleteColorTransform
0x11bc, ZwGdiDescribePixelFormat
0x11bd, NtGdiDestroyOPMProtectedOutput
0x11be, NtGdiDestroyPhysicalMonitor
0x11bf, NtGdiDoBanding
0x11c0, NtGdiDrawEscape
0x11c1, ZwGdiDvpAcquireNotification
0x11c2, ZwGdiDvpCanCreateVideoPort
0x11c3, ZwGdiDvpColorControl
0x11c4, ZwGdiDvpCreateVideoPort
0x11c5, ZwGdiDvpDestroyVideoPort
0x11c6, ZwGdiDvpFlipVideoPort
0x11c7, ZwGdiDvpGetVideoPortBandwidth
0x11c8, NtGdiDvpGetVideoPortConnectInfo
0x11c9, ZwGdiDvpGetVideoPortField
0x11ca, NtGdiDvpGetVideoPortFlipStatus
0x11cb, ZwGdiDvpGetVideoPortInputFormats
0x11cc, ZwGdiDvpGetVideoPortLine
0x11cd, ZwGdiDvpGetVideoPortOutputFormats
0x11ce, ZwGdiDvpGetVideoSignalStatus
0x11cf, ZwGdiDvpReleaseNotification
0x11d0, NtGdiDvpUpdateVideoPort
0x11d1, ZwGdiDvpWaitForVideoPortSync
0x11d2, NtGdiDxgGenericThunk
0x11d3, NtGdiEllipse
0x11d4, ZwGdiEnableEudc
0x11d5, NtGdiEndDoc
0x11d6, NtGdiEndGdiRendering
0x11d7, ZwGdiEndPage
0x11d8, NtGdiEngAlphaBlend
0x11d9, NtGdiEngAssociateSurface
0x11da, NtGdiEngBitBlt
0x11db, NtGdiEngCheckAbort
0x11dc, ZwGdiEngComputeGlyphSet
0x11dd, NtGdiEngCopyBits
0x11de, ZwGdiEngCreateBitmap
0x11df, ZwGdiEngCreateClip
0x11e0, NtGdiEngCreateDeviceBitmap
0x11e1, NtGdiEngCreateDeviceSurface
0x11e2, ZwGdiEngCreatePalette
0x11e3, NtGdiEngDeleteClip
0x11e4, NtGdiEngDeletePalette
0x11e5, ZwGdiEngDeletePath
0x11e6, ZwGdiEngDeleteSurface
0x11e7, ZwGdiEngEraseSurface
0x11e8, ZwGdiEngFillPath
0x11e9, ZwGdiEngGradientFill
0x11ea, ZwGdiEngLineTo
0x11eb, ZwGdiEngLockSurface
0x11ec, ZwGdiEngMarkBandingSurface
0x11ed, ZwGdiEngPaint
0x11ee, ZwGdiEngPlgBlt
0x11ef, ZwGdiEngStretchBlt
0x11f0, ZwGdiEngStretchBltROP
0x11f1, NtGdiEngStrokeAndFillPath
0x11f2, ZwGdiEngStrokePath
0x11f3, ZwGdiEngTextOut
0x11f4, NtGdiEngTransparentBlt
0x11f5, NtGdiEngUnlockSurface
0x11f6, NtGdiEnumFonts
0x11f7, NtGdiEnumObjects
0x11f8, ZwGdiEudcLoadUnloadLink
0x11f9, NtGdiExtFloodFill
0x11fa, ZwGdiFONTOBJ_cGetAllGlyphHandles
0x11fb, ZwGdiFONTOBJ_cGetGlyphs
0x11fc, NtGdiFONTOBJ_pQueryGlyphAttrs
0x11fd, ZwGdiFONTOBJ_pfdg
0x11fe, NtGdiFONTOBJ_pifi
0x11ff, NtGdiFONTOBJ_pvTrueTypeFontFile
0x1200, NtGdiFONTOBJ_pxoGetXform
0x1201, ZwGdiFONTOBJ_vGetInfo
0x1202, NtGdiFlattenPath
0x1203, ZwGdiFontIsLinked
0x1204, NtGdiForceUFIMapping
0x1205, ZwGdiFrameRgn
0x1206, ZwGdiFullscreenControl
0x1207, ZwGdiGetBoundsRect
0x1208, ZwGdiGetCOPPCompatibleOPMInformation
0x1209, ZwGdiGetCertificate
0x120a, ZwGdiGetCertificateSize
0x120b, ZwGdiGetCharABCWidthsW
0x120c, ZwGdiGetCharacterPlacementW
0x120d, NtGdiGetColorAdjustment
0x120e, NtGdiGetColorSpaceforBitmap
0x120f, NtGdiGetDeviceCaps
0x1210, NtGdiGetDeviceCapsAll
0x1211, NtGdiGetDeviceGammaRamp
0x1212, NtGdiGetDeviceWidth
0x1213, NtGdiGetDhpdev
0x1214, NtGdiGetETM
0x1215, NtGdiGetEmbUFI
0x1216, ZwGdiGetEmbedFonts
0x1217, ZwGdiGetEudcTimeStampEx
0x1218, NtGdiGetFontFileData
0x1219, ZwGdiGetFontFileInfo
0x121a, ZwGdiGetFontResourceInfoInternalW
0x121b, ZwGdiGetFontUnicodeRanges
0x121c, ZwGdiGetGlyphIndicesW
0x121d, NtGdiGetGlyphIndicesWInternal
0x121e, ZwGdiGetGlyphOutline
0x121f, ZwGdiGetKerningPairs
0x1220, NtGdiGetLinkedUFIs
0x1221, ZwGdiGetMiterLimit
0x1222, ZwGdiGetMonitorID
0x1223, NtGdiGetNumberOfPhysicalMonitors
0x1224, NtGdiGetOPMInformation
0x1225, ZwGdiGetOPMRandomNumber
0x1226, ZwGdiGetObjectBitmapHandle
0x1227, ZwGdiGetPath
0x1228, NtGdiGetPerBandInfo
0x1229, NtGdiGetPhysicalMonitorDescription
0x122a, ZwGdiGetPhysicalMonitors
0x122b, ZwGdiGetRealizationInfo
0x122c, NtGdiGetServerMetaFileBits
0x122d, NtGdiGetSpoolMessage
0x122e, NtGdiGetStats
0x122f, NtGdiGetStringBitmapW
0x1230, ZwGdiGetSuggestedOPMProtectedOutputArraySize
0x1231, NtGdiGetTextExtentExW
0x1232, ZwGdiGetUFI
0x1233, NtGdiGetUFIPathname
0x1234, ZwGdiGradientFill
0x1235, NtGdiHLSurfGetInformation
0x1236, NtGdiHLSurfSetInformation
0x1237, NtGdiHT_Get8BPPFormatPalette
0x1238, NtGdiHT_Get8BPPMaskPalette
0x1239, ZwGdiIcmBrushInfo
0x123a, ZwGdiInit
0x123b, NtGdiInitSpool
0x123c, ZwGdiMakeFontDir
0x123d, ZwGdiMakeInfoDC
0x123e, NtGdiMakeObjectUnXferable
0x123f, ZwGdiMakeObjectXferable
0x1240, NtGdiMirrorWindowOrg
0x1241, ZwGdiMonoBitmap
0x1242, NtGdiMoveTo
0x1243, NtGdiOffsetClipRgn
0x1244, ZwGdiPATHOBJ_bEnum
0x1245, ZwGdiPATHOBJ_bEnumClipLines
0x1246, ZwGdiPATHOBJ_vEnumStart
0x1247, NtGdiPATHOBJ_vEnumStartClipLines
0x1248, ZwGdiPATHOBJ_vGetBounds
0x1249, NtGdiPathToRegion
0x124a, NtGdiPlgBlt
0x124b, NtGdiPolyDraw
